name,category,rate,price,time
Paris: Disneyland® Multi-Day Entry Ticket,Entry ticket,"
      4.6
    ","213,657 per person",2 - 4 days
Paris: Eiffel Tower Access and Seine River Cruise,Bundle,"
      4.4
    ","120,370 per person",2.5 hours
Paris: The Louvre Museum and Seine River Cruise,Bundle,"
      4.4
    ","46,042 per person",1 day
Versailles: Skip-the-Line Guided Palace Tour w/ Gardens,Guided tour,"
      4.4
    ","93,287 per person",1.5 hours
Paris: Sainte-Chapelle and Conciergerie Combined Tickets,Bundle,"
      4.6
    ","27,836 per person",1 day
Giverny: Monet’s House and Gardens Skip-the-Line Tour,Guided tour,"
      4.5
    ","82,755 per person",2 hours
From Paris: Guided Day Trip to Monet's Garden in Giverny,Guided tour,"
      4.7
    ","165,509 per person",5 hours
Paris: Skip-the-Line Musée d’Orsay Ticket and Guided Tour,Guided tour,"
      4.4
    ","88,773 per person",2 hours
Fontainebleau & Vaux-le-Vicomte Châteaux Day Tour from Paris,Day trip,"
      4.4
    ","157,986 per person",9 hours
Paris: Moulin Rouge Cabaret Show Ticket with Champagne,Entry ticket,"
      4.7
    ","188,079 per person",2 hours
Paris: Versailles Palace and Gardens Full Access Ticket,Entry ticket,"
      4.3
    ","42,882 per person",1 day
Paris: Skip-the-line in Louvre Museum Guidance to Mona Lisa,Entry ticket,"
      4.1
    ","58,681 per person",1 day
Paris: Notre Dame Outdoor Walking Tour with Crypt Entry,Guided tour,"
      4.2
    ","54,167 per person",2 hours
Paris: Seine Cruise & Crepe Tasting near the Eiffel Tower,Water activity,"
      4.2
    ","29,852 per person",1 hour
Paris: Musée d'Orsay Entry Ticket and Seine River Cruise,Bundle,"
      4.5
    ","45,018 per person",1 day
Paris: Musée d’Orsay Semi-Private Guided Tour,Guided tour,"
      4.7
    ","148,958 per person",2 hours
Paris: Arc de Triomphe Rooftop Tickets,Entry ticket,"
      4.6
    ","19,560 per person",1 day
Paris: Louvre Timed Entry and Seine Cruise,Bundle,"
      3.5
    ","45,139 per person",3.5 hours
Paris: Louvre Museum Timed-Entrance Ticket,Entry ticket,"
      4.5
    ","25,579 per person",1 day
Paris: Versailles Palace Ticket with Audio Guide & Transfers,Entry ticket,"
      4.1
    ","120,370 per person",7 hours
Paris: Crazy Horse Cabaret Show,Entry ticket,"
      4.5
    ","173,032 per person",1.5 - 3 hours
Paris: Louvre Museum Entry Ticket with Guidance to Mona Lisa,Entry ticket,"
      4.2
    ","75,231 per person",1 day
Paris: Parc Astérix Full-Day Entrance Ticket,Entry ticket,"
      4.3
    ","76,736 per person",1 day
Paris: River Seine Cruise with Optional Drinks and Snacks,Water activity,"
      4.3
    ","30,093 per person",1 day
Paris: Famous Graves of Père Lachaise Small Group Tour,Guided tour,"
      4.5
    ","31,597 per person",2 hours
Paris: Perfume Making Workshop & Perfume Museum Guided Tour,Workshop or class,"
      4.5
    ","43,634 per person",45 minutes
Paris: Sainte-Chapelle Skip-The-Line Ticket and River Cruise,Bundle,"
      4.1
    ","42,882 per person",3 hours
Paris: Vallée Village Outlet Shopping Day,Day trip,"
      4.0
    ","37,616 per person",6 - 9 hours
Paris: Illuminations Seine River Cruise w/ Audio Commentary,Water activity,"
      4.3
    ","24,074 per person",1 hour
Paris: Stade de France Behind the Scenes Tour,Guided tour,"
      4.5
    ","24,074 per person",1.5 hours
Paris: Louvre Museum Timed-Entrance Ticket and Audioguide,Entry ticket,"
      4.4
    ","39,120 per person",1 day
Paris: Aquarium de Paris Entrance Ticket,Entry ticket,"
      4.1
    ","31,597 per person",1 day
Paris: Opera Garnier Entry Ticket,Entry ticket,"
      4.5
    ","21,065 per person",1 day
Paris: Aquaboulevard Water Park Entrance Ticket,Entry ticket,"
      4.2
    ","53,414 per person",1 day
Paris: Sainte Chapelle Entry Ticket,Entry ticket,"
      4.5
    ","17,303 per person",1 day
Paris: 1-Hour Seine River Cruise,Water activity,"
      4.4
    ","22,569 per person",75 minutes
Paris: Fondation Louis Vuitton Exhibition Entry Ticket,Entry ticket,"
      4.6
    ","33,102 per person",1 day
Paris: Marmottan Monet Museum Skip-the-Line Entry Ticket,Entry ticket,"
      4.6
    ","21,065 per person",1 day
Paris: Grévin Wax Museum Ticket,Entry ticket,"
      4.4
    ","39,120 per person",1 day
Versailles: Palace of Versailles Timed Entry Ticket,Entry ticket,"
      4.1
    ","29,340 per person",1 day
Paris: Musée d'Orsay 1-Day Ticket with Reserved Access,Entry ticket,"
      4.6
    ","25,579 per person",1 day
Paris: Rodin Museum Entrance Ticket,Entry ticket,"
      4.8
    ","21,065 per person",1 day
Les Invalides: Napoleon's Tomb & Army Museum Entry,Entry ticket,"
      4.6
    ","22,569 per person",1 day
Paris: Musée de l'Orangerie Reserved Entrance Ticket,Entry ticket,"
      4.7
    ","20,312 per person",1 day
Paris: Montparnasse Tower Observation Deck Entry Ticket,Entry ticket,"
      4.5
    ","22,569 per person",1 hour
Paris: City of Science and Industry Museum Entry Ticket,Entry ticket,"
      3.7
    ","19,560 per person",1 day
Paris: Picasso Museum Full-Day Priority Access,Entry ticket,"
      4.5
    ","21,065 per person",1 day
Paris: Pompidou Centre Modern Art Museum Entry Ticket,Entry ticket,"
      4.5
    ","22,569 per person",1 day
Paris: Panthéon Admission Ticket and Self-Guided Tour,Entry ticket,"
      4.5
    ","17,303 per person",1 day
Paris: Hôtel de la Marine Entry Ticket,Entry ticket,"
      4.5
    ","14,294 per person",1 day
Paris: Sacré-Coeur and Montmartre Tour with Expert Guide,Guided tour,"
      4.4
    ","42,130 per person",1 - 2 hours
Louvre Museum: Guided Tour with Optional Ticket,Guided tour,"
      4.6
    ","112,847 per person",2 hours
Paris: 3-Course Dinner Cabaret Show at Paradis Latin Theater,Entry ticket,"
      4.7
    ","263,310 per person",3.5 hours
Chateau of Chantilly: Skip-the-Line Ticket,Entry ticket,"
      4.6
    ","25,579 per person",1 day
Paris: 2-Hour Guided Tour Through the Louvre,Guided tour,"
      4.5
    ","67,708 per person",2 hours
"Paris: Day or Sunset Cruise with Drink, Ice Cream or Dessert",Water activity,"
      4.2
    ","28,769 per person",1 hour
Paris: Seine River and Canal Saint-Martin Cruise,Water activity,"
      4.2
    ","34,606 per person",2.5 hours
Paris: Champagne at the Moulin Rouge & Seine River Cruise,Bundle,"
      4.1
    ","263,310 per person",5.5 hours
Paris: 2-Hour Perfume Creation Workshop,Workshop or class,"
      4.8
    ","133,912 per person",2 hours
From Paris: Giverny and Versailles Palace Guided Day Trip,Day trip,"
      4.3
    ","239,236 per person",10 hours
Paris: Cruise on the Saint-Martin Canal and the Seine River,Water activity,"
      4.2
    ","34,606 per person",2.5 hours
Paris: Paris Zoological Park Entrance Ticket,Entry ticket,"
      4.7
    ","30,093 per person",700 days
Paris: 2-Hour River Seine Lunch Cruise,Water activity,"
      4.7
    ","103,819 per person",2 hours
Paris: Paradis Latin Cabaret Show with/without Champagne,Entry ticket,"
      4.6
    ","120,370 per person",1.5 hours
Paris: Highlights 3-Hour Bike Tour,Guided tour,"
      4.5
    ","55,671 per person",3 hours
From Paris: Day Trip to Bruges with Seasonal Canal Cruise,Day trip,"
      4.2
    ","180,555 per person",1 day
Paris: Musée d'Orsay Guided Tour with Options,Guided tour,"
      4.8
    ","94,641 per person",1.5 - 2.5 hours
Paris: City Treasures Bike Tour,Bundle,"
      4.9
    ","61,690 per person",3 hours
Paris: 3-Course Lunch Cruise on the River Seine,Water activity,"
      4.3
    ","87,268 per person",1.5 hours
Paris: Eiffel Tower Tour with Summit or 2nd Floor Access,Other experience,"
      4.1
    ","97,801 per person",75 minutes
Paris: Charles de Gaulle Airport Private Transfer,Transfer,"
      4.2
    ","139,720 per group up to 3",1 hour
Paris: Private City Highlights Tuk-Tuk Tour with Pickup,Private tour,"
      4.8
    ","496,528 per group up to 4",3 - 8 hours
Paris: Le Marais Guided Walking Tour,Guided tour,"
      4.1
    ","63,194 per person",2 - 2.5 hours
From Paris: Normandy D-Day Landing Beaches Full-Day Tour,Day trip,"
      4.9
    ","368,634 per person",12 hours
From Paris: Giverny Audio-Guided Tour,Day trip,"
      4.1
    ","127,893 per person",10 hours
From Paris: Full-Day Loire Valley Chateaux Tour,Day trip,"
      4.2
    ","203,125 per person",12 - 12.5 hours
Paris Highlights 2.5-Hour Segway Tour,Guided tour,"
      4.9
    ","82,755 per person",2.5 hours
Paris: La Nouvelle Eve Cabaret Show with Champagne,Entry ticket,"
      4.6
    ","148,958 per person",1.5 hours
Paris: Eiffel Tower's Madame Brasserie Refined Dinner,Other experience,"
      4.4
    ","186,724 per person",1.5 hours
Paris: 1-Hour Sightseeing Cruise with Bistro Dinner,Water activity,"
      4.4
    ","81,476 per person",2 hours
"Paris Museum Pass: 2, 4, or 6 Days",City card,"
      4.2
    ","105,324 per person",2 - 6 days
Paris: Romantic Cruise with 3-course Dinner on Seine River,Water activity,"
      4.2
    ","111,343 per person",106 minutes
Paris: Conciergerie Skip-the-Line Ticket with Histopad,Entry ticket,"
      4.2
    ","17,303 per person",1 day
Musée du Quai Branly - Jacques Chirac: Admission Ticket,Entry ticket,"
      4.6
    ","18,056 per person",1 day
From Paris: Reims and Champagne Tasting Full-Day Tour,Day trip,"
      4.7
    ","525,115 per person",10 hours
"Paris: Montmartre Cheese, Wine & Pastry Guided Walking Tour",Guided tour,"
      4.8
    ","157,986 per person",3 hours
Versailles: Palace of Versailles Skip-the-Line Guided Tour,Guided tour,"
      4.8
    ","88,773 per person",1.5 hours
Paris: Private Pontoon Boat Seine River Cruise with Guide,Water activity,"
      4.9
    ","631,944 per group up to 6",2 hours
Paris: Dinner Show at the Moulin Rouge,Entry ticket,"
      4.7
    ","347,569 per person",4 hours
Paris: Evening Sightseeing Tour and Moulin Rouge Show,Bundle,"
      3.9
    ","255,787 per person",5 hours
Skip-the-Line Versailles Palace Tour by Train from Paris,Guided tour,"
      4.7
    ","135,266 per person",4.5 hours
Paris: Musée Jacquemart-André Skip-the-Line Entry Ticket,Entry ticket,"
      4.6
    ","25,579 per person",1 day
Paris: Marais District Jewish History Guided Walking Tour,Guided tour,"
      5.0
    ","79,745 per person",3 hours
Paris: Guided Tour of the Must-Sees of the Louvre Museum,Guided tour,"
      4.7
    ","103,669 per person",1.5 hours
Versailles Bike Tour with Palace & Queen Farm Entrance,Day trip,"
      4.8
    ","164,005 per person",8 hours
Paris: Charles de Gaulle Airport to Paris Private Transfer,Transfer,"
      3.5
    ","118,866 per group up to 3",30 minutes
From Paris: Full-Day Mont Saint-Michel Guided Tour,Day trip,"
      4.3
    ","239,236 per person",14 hours
Paris: Charming Nooks and Crannies Bike Tour,Guided tour,"
      4.8
    ","61,690 per person",3 hours
Paris: Eiffel Tower's Madame Brasserie Dinner at 6:30 PM,Entry ticket with host,"
      4.5
    ","149,109 per person",2 hours
Paris: Haunted Père Lachaise Cemetery Guided Tour,Guided tour,"
      4.4
    ","30,093 per person",2 hours
Paris: Eiffel Tower's Madame Brasserie Lunch,Other experience,"
      4.3
    ","85,914 per person",1.5 hours
From Paris: Day Trip to Giverny & Versailles,Day trip,"
      4.3
    ","284,375 per person",9 hours
Private tour by night Paris in Citroën 2CV,Private tour,"
      4.9
    ","199,363 per person",1.5 hours
Paris: Eiffel Tower Guided Tour with Summit Access,Guided tour,"
      4.6
    ","165,359 per person",1.5 hours
Paris: Basilique Saint Denis Entry Ticket,Entry ticket,"
      4.6
    ","14,294 per person",365 days
Paris: Loire Castles Day Trip by Coach With Wine Tasting,Day trip,"
      4.4
    ","224,190 per person",13 hours
"Paris: Eiffel Tower, Louvre Museum, and Seine River Cruise",Day trip,"
      3.8
    ","165,509 per person",6 - 8 hours
Paris: Eiffel Tower 2nd Floor Access or Summit Access,Guided tour,"
      4.5
    ","93,287 per person",1.5 hours
Paris: Eiffel Tower Tour with Summit Option,Guided tour,"
      4.1
    ","76,736 per person",75 minutes
Paris: 1-hour Guided Segway Tour,Adventure,"
      4.9
    ","58,681 per person",75 minutes
Paris: Guided Bike Tour Like a Local,Guided tour,"
      4.7
    ","67,708 per person",3.5 hours
Paris: Disneyland® Tickets and Shuttle Transport,Entry ticket,"
      4.1
    ","209,143 per person",1 day
Paris: Seine River Cruise with 3-Course Dinner & Live Music,Water activity,"
      4.6
    ","233,217 per person",1.5 - 2.5 hours
From Paris: Versailles Palace & Garden Bike Tour w/ Tickets,Day trip,"
      4.7
    ","164,005 per person",8 - 8.5 hours
Paris: Eiffel Tower Access w/ Audioguide and Optional Cruise,Entry ticket with host,"
      3.8
    ","84,259 per person",2.5 hours
Paris: Hop-On Hop-Off Sightseeing Cruise 1-Day/2-Day Pass,Hop-on hop-off tour,"
      4.3
    ","28,588 per person",1 - 2 days
Paris: Access Eiffel Tower Summit or Second Level,Guided tour,"
      4.6
    ","103,819 per person",2 hours
Electric Bike Tour of Paris’ Hidden Gems,Guided tour,"
      4.9
    ","88,773 per person",4 hours
Paris: Wine and Cheese Lunch,Guided tour,"
      4.9
    ","118,866 per person",1.5 hours
Versailles: Guided Palace Tour with Optional Gardens Tour,Guided tour,"
      3.9
    ","78,241 per person",1.5 - 2 hours
Paris: Jardin d'Acclimatation 1-Day Unlimited Pass,Entry ticket,"
      4.6
    ","40,625 per person",1 day
Paris: Versailles Palace Guided Tour & Optional Garden Visit,Guided tour,"
      4.2
    ","126,389 per person",4 hours
From Paris: Small-Group Champagne Day Trip with Six Tastings,Day trip,"
      4.8
    ","346,065 per person",11 hours
Paris: Speakeasies and Hidden Bars Nighttime Tour,Other experience,"
      4.6
    ","46,343 per person",2 hours
Skip the Line: Hard Rock Cafe Paris,Entry ticket,"
      4.5
    ","39,497 per person",75 minutes
Paris: 3-Course Lunch at Madame Brasserie in Eiffel Tower,Entry ticket with host,"
      4.3
    ","85,914 per person",1.5 hours
Paris: Macaron Class at Galeries Lafayette,Workshop or class,"
      4.4
    ","82,755 per person",1.5 hours
From Paris: Skip-the-Line Palace of Versailles Bike Tour,Day trip,"
      5.0
    ","218,171 per person",8 hours
Louvre Museum Highlights: 2-Hour Private Guided Tour,Private tour,"
      4.5
    ","322,743 per person",2 hours
Paris: Notre Dame Virtual Reality Tour,Entry ticket,"
      4.0
    ","36,863 per person",35 minutes
Paris: Comedy Show - How to Become a Parisian,Entry ticket,"
      4.7
    ","36,111 per person",70 - 75 minutes
Paris: Orangerie Museum Entry Ticket and Seine Cruise Ticket,Bundle,"
      4.3
    ","49,502 per person",1 day
Paris: Private or Shared Cruise on the Seine,Water activity,"
      4.9
    ","170,023 per person",100 minutes
Paris: 3-Hour Chocolate & Patisserie Walking Tour,Guided tour,"
      4.7
    ","148,958 per person",3 hours
WWI Somme Battlefields Day Trip from Paris,Day trip,"
      5.0
    ","315,972 per person",11 hours
Versailles: Palace of Versailles and Marie Antoinette Tour,Day trip,"
      4.9
    ","204,630 per person",7 hours
Paris: Private Customized Tour with a Local Guide,Private tour,"
      4.6
    ","82,755 per person",2 - 6 hours
Paris: Château de Vincennes Entry Ticket,Entry ticket,"
      4.4
    ","14,294 per person",365 days
Paris: Louvre Museum Ticket and Mona Lisa Access with Host,Entry ticket,"
      3.3
    ","75,231 per person",1 day
Paris: Behind the Scenes Bakery Tour with Breakfast,Workshop or class,"
      4.7
    ","135,417 per person",2 hours
Paris: Big Bus Panoramic Night Tour,Guided tour,"
      4.2
    ","43,333 per person",2 hours
Paris: Premium Private Transfer from/to Charles de Gaulle,Transfer,"
      4.8
    ","127,863 per group up to 3",35 minutes
From Paris: Small-Group Champagne Tour with 3-Course Lunch,Day trip,"
      4.7
    ","525,115 per person",11 hours
Behind the Scenes of the Grand Rex: 50-Minute Studio Tour,Entry ticket,"
      4.6
    ","16,551 per person",50 minutes
2-Hour Bread Making Class in Paris,Workshop or class,"
      4.8
    ","209,143 per person",2 hours
Paris: Professional Photoshoot at the Eiffel Tower,Private tour,"
      4.4
    ","82,755 per group up to 1",30 - 45 minutes
Paris: Wine Museum Guided Tour with Wine Tasting,Workshop or class,"
      4.5
    ","54,167 per person",1 hour
Paris: Arc de Triomphe Entry with Seine Cruise,Bundle,"
      4.4
    ","46,027 per person",3 hours
Paris: Eiffel Tower Guided Tour and Seine River Cruise,Bundle,"
      4.6
    ","103,518 per person",3 hours
Paris: Heart of Paris Private Boat Tour with Bottle of Wine,Water activity,"
      4.8
    ","750,810 per group up to 8",2.5 hours
From London: Luxury Paris Full-Day Trip,Day trip,"
      4.5
    ","604,911 per person",14 hours
From Paris: Normandy D-Day Beaches Day Trip,Day trip,"
      4.6
    ","278,356 per person",14 hours
Paris: Evening Cruise with Drink and City Walking Tour,Bundle,"
      4.2
    ","39,256 per person",2 hours
Paris: Roland-Garros Stadium Guided Backstage Tour,Guided tour,"
      4.7
    ","24,074 per person",1.5 hours
Paris: Food and Wine Tasting Walking Tour in Le Marais,Guided tour,"
      4.8
    ","164,005 per person",3.5 hours
From Paris: Full-Day Guided Tour of Versailles with Lunch,Day trip,"
      4.2
    ","260,301 per person",9 hours
Paris: Musée de Montmartre and Gardens Entry Ticket,Entry ticket,"
      4.6
    ","22,569 per person",1 day
Paris: Le Marais Food Tour,Guided tour,"
      4.3
    ","82,709 per person",3 hours
Paris Night Bicycle Tour & River Cruise,Water activity,"
      4.7
    ","73,727 per person",4.5 hours
Paris: Private Sightseeing Tour in Citroën 2CV,Private tour,"
      4.8
    ","166,261 per person",1.5 - 3 hours
Saint-Germain-des-Prés: Pastry and Chocolate Walking Tour,Guided tour,"
      4.7
    ","164,005 per person",3 hours
Versailles Palace Skip-the-Line Entrance and Breakfast,Entry ticket,"
      4.4
    ","76,736 per person",1 day
Paris: 2-Hour Segway Tour,Guided tour,"
      4.8
    ","88,773 per person",2 hours
From Paris: Versailles Guided Tour by Deluxe Minibus,Guided tour,"
      5.0
    ","216,667 per person",4 hours
Welcome to Paris Day Trip from London via Train,Day trip,"
      4.5
    ","518,248 per person",14.5 hours
SEA LIFE Paris: Admission Ticket,Entry ticket,"
      4.1
    ","34,606 per person",1 day
Skip-the-Line: Paris Catacombs Guided Tour with VIP Access,Guided tour,"
      4.6
    ","194,097 per person",2 hours
"Paris: Loire Valley Chambord Castle, Wine Tasting & Lunch",Day trip,"
      4.8
    ","451,389 per person",11 hours
Paris: Eiffel Tower 2nd Floor Access Entry Ticket,Entry ticket with host,"
      4.2
    ","51,834 per person",1 - 2 hours
Eiffel Tower Champagne Lunch and Paris Day Tour from London,Day trip,"
      5.0
    ","649,976 per person",16 hours
From Le Havre: Paris Guided Day Trip Shore Excursion,Day trip,"
      4.1
    ","193,375 per person",11 hours
Paris: Graffiti and Street Art Workshop,Workshop or class,"
      4.6
    ","90,278 per person",2 hours
Romantic Paris Vintage Citroën 2CV Tour,Private tour,"
      4.6
    ","164,757 per person",2 hours
Versailles: Palace of Versailles Night Fountain Show,Entry ticket,"
      4.5
    ","54,167 per person",3 hours
Paris Louvre: 2-Hour Private Tour for Groups or Families,Private tour,"
      4.7
    ","677,083 per group up to 5",2 hours
Secret Paris 3-Hour Bike Tour,Guided tour,"
      4.4
    ","64,699 per person",3 hours
Paris: Louvre Highlights 2 hour Skip the Line Guided Tour,Guided tour,"
      4.8
    ","96,296 per person",2 hours
Paris: Photo Shoot with a Private Travel Photographer,Private tour,"
      4.9
    ","294,656 per group up to 6",30 minutes
Paris: French Macarons Baking Class with a Parisian Chef,Workshop or class,"
      4.8
    ","179,051 per person",3 hours
Versailles: Palace Guided Tour with Skip-the-Line Tickets,Guided tour,"
      4.4
    ","85,764 per person",1.5 hours
Paris: Belleville Street Art Tour with an Artist,Guided tour,"
      4.9
    ","52,662 per person",135 minutes
Off-the-Beaten Track in Paris: 2-Hour Vintage 2CV Tour,Private tour,"
      4.7
    ","149,711 per person",2 hours
From Paris: Versailles Palace and Gardens Guided Expereince,Day trip,"
      4.3
    ","43,634 per person",6.5 hours
Versailles-Giverny Day Tour with Lunch at Moulin de Fourges,Day trip,"
      4.8
    ","409,259 per person",9 hours
Paris 2.5-Hour Unique Macaron Cooking Class,Workshop or class,"
      4.9
    ","173,032 per person",2.5 hours
From Paris: Versailles Palace Skip-the-Line Half-Day Trip,Guided tour,"
      4.5
    ","246,759 per person",4 hours
Paris: Access to the Eiffel Tower's 2nd Floor,Guided tour,"
      4.4
    ","103,819 per person",2 hours
Paris: Hop-on Hop-off Bus Tour and Seine River Cruise,Bundle,"
      4.3
    ","79,896 per person",1 day
Paris: Louvre Treasure Hunt for Families and Kids,Private tour,"
      5.0
    ","692,129 per group up to 4",2 hours
Paris: Night River Cruise On The Seine With Waffle Tasting,Water activity,"
      4.2
    ","26,963 per person",1 hour
Paris: French Wine Tasting Class with Sommelier,Workshop or class,"
      4.8
    ","103,819 per person",2 hours
Paris: Iconic Neighborhoods Guided Walking Tour,Guided tour,"
      4.8
    ","28,588 per person",1.5 - 2 hours
Complete Mont-Saint-Michel: Exclusive Bay Walk & Abbey Tour,Day trip,"
      4.7
    ","434,838 per person",13 hours
Paris: Private Transfer between Paris & CDG Airport,Transfer,"
      4.8
    ","119,618 per group up to 4",35 minutes
Market Visit and Cooking Class with a Parisian Chef,Workshop or class,"
      4.8
    ","255,787 per person",4.5 hours
Paris: Louvre Museum Entry Ticket and Guided Tour,Guided tour,"
      5.0
    ","150,087 per person",2 - 2.5 hours
Paris: Eiffel Tower Access & Seine River Cruise,Bundle,"
      4.5
    ","117,361 per person",3 hours
"Paris: Eiffel Tower Hosted Tour, Seine Cruise and City Tour",Bundle,"
      4.0
    ","133,912 per person",3 - 4 hours
Paris: Eiffel Tower Tour and Seine River Cruise at Dusk,Bundle,"
      4.7
    ","78,572 per person",2.5 hours
Château de Versailles: The Musical Fountains Show,Entry ticket,"
      4.3
    ","15,799 per person",1 day
Paris by Vintage Motorbike Sidecar,Private tour,"
      5.0
    ","203,847 per group up to 2",40 minutes
Paris: Opera Garnier and Seine River Cruise Tickets,Bundle,"
      4.5
    ","47,998 per person",3 hours
2-Hour French Pastry Cooking Class in Paris,Workshop or class,"
      5.0
    ","173,032 per person",2.5 hours
Paris: 1-Hour Seine River Wine Cruise with 3 Tastings,Water activity,"
      4.5
    ","103,819 per person",1 hour
Paris: Versailles Palace & Trianon Castles E-Bike Tour,Day trip,"
      4.9
    ","210,648 per person",9 hours
Versailles Palace Private Family Tour Designed for Kids,Private tour,"
      4.4
    ","360,359 per person",2 hours
Paris: Food Tour in Le Marais with Tastings,Guided tour,"
      5.0
    ","155,994 per person",3 hours
Paris: Seine River Cruise & Brunch with Panoramic View,Water activity,"
      4.5
    ","84,259 per person",1.5 hours
Louvre Museum: Skip-the-Line Guided Tour,Guided tour,"
      4.7
    ","157,986 per person",2 hours
"Paris: Eiffel Tower Visit with Summit, Louvre, and Cruise",Bundle,"
      4.1
    ","195,451 per person",5 hours
Paris: Perfume Workshop,Workshop or class,"
      4.7
    ","194,097 per person",2 hours
Paris: Louvre Tour with Skip-the-Ticket-Line,Guided tour,"
      4.8
    ","62,021 per person",3 hours
"Paris: Eiffel Tower, Hop-On Hop-Off Bus, Seine River Cruise",Bundle,"
      4.3
    ","180,405 per person",4 - 5 hours
Paris: Romantic Photoshoot for Couples,Private tour,"
      4.8
    ","180,555 per group up to 7",45 - 75 minutes
Paris: Seine River Morning Guided Sightseeing Cruise,Water activity,"
      4.5
    ","19,560 per person",1 hour
"Paris: Eiffel Tower Tour, Arc de Triomphe, and Cruise",Bundle,"
      4.3
    ","150,448 per person",5 hours
Paris: Wine and Cheese Tasting,Workshop or class,"
      4.6
    ","78,241 per person",1.5 hours
Paris: Walking Food Tour in Saint Germain des Prés,Guided tour,"
      5.0
    ","164,005 per person",3 hours
From Paris: Versailles Audio Guided Tour with Tickets,Day trip,"
      3.6
    ","123,380 per person",4 - 10 hours
Paris: Bus Toqué Tour with 5-Course Dinner and Champagne,Guided tour,"
      4.7
    ","180,555 per person",2 hours
Paris: Louvre Museum Private Family Tour Designed for Kids,Private tour,"
      4.4
    ","322,743 per person",2 hours
Paris: 1 or 2-Hour Major Monuments Tour by Tuk Tuk,Private tour,"
      4.5
    ","173,032 per group up to 2",1 - 2 hours
"Paris: Walking Food Tour with Cheese, Wine and Delicacies",Guided tour,"
      4.6
    ","173,032 per person",198 minutes
